,ALLIANCE,CUES,DRG4Food,EFF-CoP,FishEUTrust,FOODGUARD,Infoodmation,ROSETTA,Sea2See,TealHelix,THEROS,TITAN,WATSON
MIGROS TICARET ANONI,1,0,0,0,0,0,0,0,0,0,0,0,1
CONSEJERIA DE MEDIO URIAS,1,0,0,0,0,0,0,0,0,0,0,0,1
Biotechnicon,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSOCIATION OF PRODUERBIA   ORIGINAL SRBIJA,1,0,0,0,0,0,0,0,0,0,0,0,0
MENA GROUP,1,0,0,0,0,0,0,0,0,0,0,0,0
THE WORLD BEE PROJEC,1,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTIS MASOUTIS A,1,0,0,0,0,0,0,0,0,0,0,0,0
LGL,1,0,0,0,0,0,0,0,0,0,0,0,1
ASINCAR,1,0,0,0,0,1,0,0,0,0,0,0,1
THE LISBON COUNCIL,1,0,0,0,0,0,0,0,0,0,0,0,1
RMS 001 DOO,1,0,0,0,0,0,0,0,0,0,0,0,0
Wisefour Innovation ,1,0,0,0,0,0,0,0,0,0,0,0,0
EUROFIR AISBL,1,0,0,0,1,0,0,0,0,0,0,0,1
CIA UMBRIA,1,0,0,0,0,0,0,0,0,0,0,0,0
ALCE NERO SPA,1,0,0,0,0,0,0,0,0,0,0,0,0
SVEUCILISTE U ZAGREB,1,1,0,0,0,0,0,0,0,0,0,0,0
UNIBO,1,0,0,0,1,0,0,0,0,0,0,0,0
CIHEAM,1,0,0,0,0,0,0,0,0,0,0,0,0
UDRUGA PROIZVODACA L,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITY OF THESSA,1,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTE FOR FOOD T,1,0,0,0,0,0,0,0,0,0,0,0,0
CONSEJO REGULADOR IN,1,0,0,0,0,0,0,0,0,0,0,0,0
NETCOMPANY S.A.,1,0,0,0,0,1,0,0,0,0,0,0,1
FEDERBIO SERVIZI SRL,1,0,0,0,0,0,0,0,0,0,0,0,0
HELLENIC DAIRIES SOC,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOCOS,1,0,0,0,0,0,0,0,0,0,0,0,1
AURIGEN MEDICAL LIMI,1,0,0,0,0,0,0,0,0,0,0,0,0
NIBIO,1,0,0,0,0,0,0,0,0,0,0,0,0
BiotechOne,1,0,0,0,0,0,0,0,0,0,0,0,0
Nogne O Det Kompromi,1,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTO SUPERIOR D,1,0,0,0,0,0,0,0,0,0,0,0,0
ALLER AQUA GROUP AS,1,0,0,0,0,0,0,0,0,0,0,0,0
SPAROS LDA,1,0,0,0,0,0,0,0,0,0,0,0,0
"SYSPRO AUTOMATION, S",1,0,0,0,0,0,0,0,0,0,0,0,0
FERMENTALG SA,1,0,0,0,0,0,0,0,0,0,0,0,0
SDU,1,0,0,0,0,0,0,0,0,0,0,0,0
IRTA - CERCA,1,0,0,0,0,0,0,0,0,0,0,0,0
GREENCOLAB,1,0,0,0,0,0,0,0,0,0,0,0,0
Mewery s.r.o.,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSIDAD DE ALMER,1,0,0,0,0,0,0,0,0,0,0,0,0
ALLMICROALGAE NATURA,1,0,0,0,0,0,0,0,0,0,0,0,0
NORWEGIAN INSTITUTE ,1,0,0,0,0,0,0,0,0,0,0,0,0
WU,1,1,0,1,0,0,1,0,0,0,0,1,0
EUROPEAN SCIENCE COM,1,0,0,0,0,0,0,0,0,0,0,0,0
UCA,1,0,0,0,0,0,0,0,0,0,0,0,0
SUBMARINER NETWORK F,1,0,0,0,0,0,0,0,0,0,0,0,0
ASOCIACION DE USUARI,0,1,0,0,0,0,0,0,0,0,0,0,0
Q-PLAN INTERNATIONAL,0,1,0,0,0,0,0,1,0,0,0,0,0
TCA,0,1,0,0,0,0,0,0,0,0,0,0,0
FINT,0,1,0,0,0,0,0,0,0,0,0,0,0
NATIONAL UNION FOR R,0,1,0,0,0,0,0,0,0,0,0,0,0
EIT FOOD,0,1,0,0,0,0,0,0,0,0,0,0,0
UVEG,0,1,0,0,0,0,0,0,0,0,0,0,0
TUDATOS VASARLOK EGY,0,1,0,0,0,0,0,0,0,0,0,0,0
LOKI FOODS EHF,0,1,0,0,0,0,0,0,0,0,0,0,0
OPENDOT SRL,0,1,0,0,0,0,0,0,0,0,0,0,0
CONSUMERS PROTECTION,0,1,0,0,0,0,0,0,0,0,0,0,0
FEDERACAO PORTUGUESA,0,1,0,0,0,0,0,0,0,0,0,0,0
UKHD,0,1,0,0,0,0,0,0,0,0,0,0,0
EUR,0,1,0,0,0,0,0,0,0,0,0,0,0
ICLEI EURO,0,1,0,0,0,0,1,0,0,0,0,0,0
TU/e,0,1,0,0,0,0,0,0,0,0,0,0,0
EUROPEAN FOOTBALLFOR,0,1,0,0,0,0,0,0,0,0,0,0,0
KU Leuven,0,1,0,0,0,0,1,0,0,1,0,0,0
STICHTING FAIR TRADE,0,1,0,0,0,0,0,0,0,0,0,0,0
IDENTITY VALLEY RESE,0,0,1,0,0,0,0,0,0,0,0,0,0
PRIVANOVA SAS,0,0,1,0,0,0,0,0,0,0,0,0,0
