projectAcronym,FOODGUARD,TITAN,EFF-CoP,WATSON,Infoodmation,TealHelix,CATALYSE,VISION4FOOD,BeSafeBeeHoney,SOSFood,ACT4FOOD,FoodDataQuest,BREADCRUMB,ALLIANCE,SecureFood,OptiFish,CUES,ROSETTA
"""NCSR """"D""""""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4BMC Sagl,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. ESPERSEN AS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVID,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCOGITO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANSES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGRI MP LDA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRICOLOUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgroApps P.C.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Agricultural Institute of Slovenia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Volcani Institute,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Agricultural University of Tirana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AgriFood Lithuania DIH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Agritrack Lyseis Technologias A.E. ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGRITRACK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGROKNOW,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AINIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALCE NERO SPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALLATORVOSTUDOMANYI EGYETEM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKRAINIAN AGRARIAN CONFEDERATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNIBO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ANALYTICAL CENTER SMART COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANCHOR LAB KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANECOOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASINCAR,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASUFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DATALIFE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OPP PEIX BLAU DE CATALUNYA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IGP Miel de Asturias,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVEC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ORIGINAL SRBIJA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UCAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASAE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXENCIA GALEGA DE DESENVOLVEMENTO RURAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LGL,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BEINFLUENCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BENCO BALTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BIOCOS,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Biopeszticid Ltd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Biotechnicon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bulgarian Academy Of Sciences,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BULGARIAN WINE EXPORT ASSOCIATION,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bursa Uludag University,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CARDIFF UNIVERSITY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARRCOMMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CENS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CREDA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CIHEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHALKIADAKIS SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSCP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COLRUYT GROUP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EURO COOP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CONFAGRICOLTURA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CIA UMBRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CYL / ITACYL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CTRA,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IGP MIEL ASTURIAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGP Faba Asturiana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONSENTIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CBS,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
COSMOSHIP MARITIME LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CREME Software Ltd ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DANMARKS FISKERIFORENING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DANISH PELAGIC PRODUCER ORGANISATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DECO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELOITTE LIMITED,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVENISH NUTRITION LTD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIADIKASIA BUSINESS CONSULTANTS SA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTIS MASOUTIS AE SUPER MARKET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DNV BUSINESS ASSURANCE ITALY SRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DRAXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dzemal Bijedic University of Mostar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E1 DATASCIENCE LTD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECODESIGN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BXSCAGRO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EV ILVO,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
EIT FOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ELAFINA ANONYMI ETAIREIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HELLENIC DAIRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ELGO DIMITRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EMPRACTIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E.K.PI.ZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENVIROINVEST ZRT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ICCS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ERGASTIRIA GALANAKIS E E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NTUA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERTH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUROFINS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURONEWS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
European Dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ED LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EUFIC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EUROFIR AISBL,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ERDN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EXUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Faculty of Veterinary Medicine,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FEBEV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FIPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BANCO ALIMENTAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F.I.A.B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FEDERALIMENTARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FEDERBIO SERVIZI SRL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
