projectAcronym,FOODGUARD,TITAN,EFF-CoP,WATSON,TealHelix,CATALYSE,BeSafeBeeHoney,ACT4FOOD,FoodDataQuest,BREADCRUMB,ALLIANCE
"""NCSR """"D""""""",1,0,0,0,0,0,0,0,0,0,0
4BMC Sagl,0,1,0,0,0,0,0,0,0,0,0
8D,0,0,1,0,0,0,0,0,0,0,0
A. ESPERSEN AS,0,0,0,1,0,0,0,0,0,0,0
ADVID,0,0,0,1,0,0,0,0,0,0,0
ADCOGITO,0,0,0,0,1,0,0,0,0,0,0
ANSES,0,0,0,0,0,1,0,0,0,0,0
AGRI MP LDA,0,1,0,0,0,0,0,0,0,0,0
AGRICOLOUS,0,1,0,0,0,0,0,0,0,0,0
Agricultural Institute of Slovenia,0,0,0,0,0,0,1,0,0,0,0
Volcani Institute,0,0,0,0,0,0,1,0,0,0,0
Agricultural University of Tirana,0,0,0,0,0,0,1,0,0,0,0
Agritrack Lyseis Technologias A.E. ,0,0,0,0,0,0,0,1,0,0,0
AGRITRACK,1,0,0,0,0,0,0,0,0,0,0
AGROKNOW,0,1,1,0,0,0,0,0,1,0,0
AINIA,0,0,0,0,0,0,0,0,0,1,0
ALCE NERO SPA,0,0,0,0,0,0,0,0,0,0,1
ALLATORVOSTUDOMANYI EGYETEM,0,0,0,1,0,0,0,0,0,0,0
UNIBO,0,0,0,0,0,0,0,0,0,1,1
ANECOOP,0,0,0,0,0,0,0,0,0,1,0
ASINCAR,1,0,0,1,0,0,0,0,0,0,1
OPP PEIX BLAU DE CATALUNYA,0,0,0,0,0,0,0,0,0,1,0
IGP Miel de Asturias,0,0,0,1,0,0,0,0,0,0,0
AVEC,0,0,0,0,0,0,0,0,0,1,0
ANIA,0,0,0,0,0,1,0,0,0,0,0
ORIGINAL SRBIJA,0,0,0,0,0,0,0,0,0,0,1
ASAE,0,0,1,0,0,0,0,0,0,0,0
LGL,0,0,0,1,0,0,0,0,0,0,1
BIOCOS,0,0,0,1,0,0,0,0,1,0,1
Biopeszticid Ltd,0,0,0,0,0,0,1,0,0,0,0
Biotechnicon,0,0,0,0,0,0,0,0,0,0,1
Bulgarian Academy Of Sciences,0,0,0,0,0,0,1,0,0,0,0
BULGARIAN WINE EXPORT ASSOCIATION,0,0,0,1,0,0,0,0,0,0,0
BFR,1,0,0,0,0,0,1,0,0,0,0
Bursa Uludag University,0,0,0,0,0,0,1,0,0,0,0
CARDIFF UNIVERSITY,0,1,0,0,0,0,0,0,0,0,0
CENS,0,0,0,0,0,0,1,0,0,0,0
CREDA,1,0,0,0,0,0,0,0,0,1,0
CIHEAM,0,0,0,0,0,0,0,0,0,0,1
CSCP,0,0,0,0,0,0,0,0,0,1,0
COLRUYT GROUP,0,0,0,0,0,0,0,0,1,0,0
CIA UMBRIA,0,0,0,0,0,0,0,0,0,0,1
CTRA,0,0,0,2,0,0,0,0,0,0,1
IGP MIEL ASTURIAS,0,0,0,1,0,0,0,0,0,0,0
IGP Faba Asturiana,0,0,0,0,0,0,0,0,0,0,1
CONSENTIO,0,1,0,0,0,0,0,0,0,0,0
CNR,0,0,0,1,0,0,0,0,0,0,0
CBS,0,0,0,0,1,0,0,0,0,0,0
CREME Software Ltd ,0,0,0,0,0,0,0,1,0,0,0
DECO,0,0,0,1,0,0,0,0,0,0,0
DELOITTE LIMITED,0,0,1,0,0,0,0,0,0,0,0
DEVENISH NUTRITION LTD,0,1,0,0,0,0,0,0,0,0,0
DIADIKASIA BUSINESS CONSULTANTS SA,0,0,0,1,0,0,0,0,0,0,0
DIAMANTIS MASOUTIS AE SUPER MARKET,0,0,0,0,0,0,0,0,0,0,1
Dzemal Bijedic University of Mostar,0,0,0,0,0,0,1,0,0,0,0
E1 DATASCIENCE LTD,1,0,0,0,0,0,0,0,0,0,0
ECODESIGN,0,0,0,0,0,0,1,0,0,0,0
BXSCAGRO,0,0,0,1,0,0,0,0,0,0,0
WBF,0,0,0,0,0,1,0,0,0,0,0
EV ILVO,0,0,0,0,0,0,0,0,1,1,0
HELLENIC DAIRIES,0,0,0,0,0,0,0,0,0,0,1
ENVIROINVEST ZRT,0,0,0,0,0,0,1,0,0,0,0
ICCS,0,0,0,0,1,0,0,0,0,0,0
NTUA,0,0,0,1,0,0,0,0,0,0,0
CERTH,0,0,0,1,0,0,0,0,0,0,0
EUROFINS,0,0,1,0,0,0,0,0,0,0,0
EURONEWS,0,0,0,1,0,0,0,0,0,0,0
EUROFIR AISBL,0,0,0,1,0,0,0,0,0,0,1
Faculty of Veterinary Medicine,0,0,0,0,0,0,1,0,0,0,0
FEBEV,0,0,0,0,0,0,0,0,0,1,0
F.I.A.B,0,0,0,0,0,1,0,0,0,0,0
FEDERBIO SERVIZI SRL,0,0,0,0,0,0,0,0,0,0,1
FENAVIAN,0,0,0,0,0,0,0,0,0,1,0
FIIN LTD,0,0,1,0,0,0,0,0,0,0,0
FISKERIDIREKTORATET,0,0,0,1,0,0,0,0,0,0,0
FLANDERS' FOOD,0,0,0,0,0,1,0,0,0,0,0
FOCOS GMBH,0,1,0,0,0,0,0,0,0,0,0
FFPTT,0,0,1,0,0,0,0,0,0,0,0
FOODDRINKEUROPE,0,0,0,0,0,1,0,0,0,0,0
FIBL,0,0,0,1,0,0,0,0,0,0,0
FACCSA,1,0,0,0,0,0,0,0,0,0,0
AZTI,0,1,0,0,0,0,0,0,0,0,0
Gamtos tyrim? centras,0,0,0,0,0,0,1,0,0,0,0
